task,family,method,classifier,regressor,preprocess,configId,configLabel,k,nPC,lambda,historyBins,bufferShort,bufferLong,smoothWin,meanRMSE,stdRMSE,meanAccuracy,stdAccuracy,meanTrainTimeSec,stdTrainTimeSec,meanTestTimeSec,stdTestTimeSec,meanTimePerPredictionMs,stdTimePerPredictionMs,meanTaskScore,stdTaskScore,numFolds,notes
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,7,nPC=50_lambda=1,NaN,50,1,15,NaN,NaN,NaN,19.2309827977582,0.50830067627452,NaN,NaN,10.0581951584,0.863439184678246,2.1857982422,0.202603523202963,0.817733252858818,0.0724384122619046,17.5264643422024,0.461718966249078,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,8,nPC=100_lambda=1,NaN,100,1,15,NaN,NaN,NaN,18.9254687013425,0.426991829882738,NaN,NaN,9.6391711958,0.342178662828314,2.3015251544,0.140139669273395,0.861410048871485,0.0559303189330145,17.2630743466482,0.385024478060197,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,9,nPC=200_lambda=1,NaN,200,1,15,NaN,NaN,NaN,18.8054394526286,0.400203013816594,NaN,NaN,10.3483381404,0.545395833124403,2.6494611616,0.225048870120083,0.990761448124872,0.0734599920709581,17.1898416235257,0.375222565080215,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,10,nPC=300_lambda=1,NaN,300,1,15,NaN,NaN,NaN,18.7648050133516,0.509149154629225,NaN,NaN,9.8566725018,0.495839937244918,2.6440099726,0.157388450292746,0.989010715549907,0.0502789185534776,17.1527255092764,0.462577166917897,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,11,nPC=400_lambda=1,NaN,400,1,15,NaN,NaN,NaN,18.6920709820395,0.569856009466746,NaN,NaN,10.6348404772,0.450785565241724,3.2073358876,0.145470140262921,1.20058685619436,0.0648115174749465,17.1435974725955,0.509467909257682,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,12,nPC=500_lambda=1,NaN,500,1,15,NaN,NaN,NaN,18.6641520684604,0.482122698411167,NaN,NaN,10.8871735826,0.560549378052212,3.819682239,0.336261411761933,1.42973487857057,0.132082470585047,17.1797050855144,0.410227662527556,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,13,nPC=50_lambda=10,NaN,50,10,15,NaN,NaN,NaN,19.2282914093752,0.507933247654885,NaN,NaN,9.6082369236,0.84912164504536,2.1154311088,0.243923515985575,0.790936356794115,0.0827603651565955,17.5170053793177,0.473147550062862,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,14,nPC=100_lambda=10,NaN,100,10,15,NaN,NaN,NaN,18.9229901009232,0.426706847211346,NaN,NaN,10.1728583286,0.754153839744894,2.4179348316,0.109338208540283,0.905052079634303,0.0476045385727763,17.2724845739909,0.380340218183684,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,15,nPC=200_lambda=10,NaN,200,10,15,NaN,NaN,NaN,18.8024429562544,0.400072577030448,NaN,NaN,9.9915676306,0.16022245096569,2.4692179152,0.0758072013398899,0.923804331238563,0.0194561391798652,17.1691204521489,0.363230733006346,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,16,nPC=300_lambda=10,NaN,300,10,15,NaN,NaN,NaN,18.7614836882109,0.50896471346852,NaN,NaN,10.4149295236,0.301218631402584,3.0364423756,0.305849293170464,1.13582936362424,0.108196032384614,17.1889795569498,0.483015622613318,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
